12/07/2019 03:39:56.144 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 03:40:10.139 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 2]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 03:49:13.209 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 03:49:25.889 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 03:52:57.673 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 03:53:11.008 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:11:11.325 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:11:20.781 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:14:19.807 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:14:34.515 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:18:04.599 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:18:18.755 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:25:53.455 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:26:26.310 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:32:30.266 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:36:57.178 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 04:37:55.022 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLM123456, TRADESHOW, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:02:43.643 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:02:59.509 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 2]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:10:02.809 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:12:42.479 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:16:37.011 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 2]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:16:55.543 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLE123456, CONFERENCE, 1]; STATUS[true]; SERVER_MESSAGE[]
12/07/2019 05:26:45.561 - [INFO] - METHOD[addEvent]; PARAMETERS[MTLM1234, MTLA123456, SEMINAR, 1]; STATUS[true]; SERVER_MESSAGE[]
